type,entity_name,entity_number,CMS number,frn,location_id,address_primary,city,state,zip_code,longitude,latitude,explanation,need,availability
S,ANTIOCH UNIVERSITY-MIDWEST,,,,1005385716,900 DAYTON ST,YELLOW SPRINGS,OH,45387,-83.908684,39.803207,,,1000
S,ANTIOCH UNIVERSITY-PHD PROGRAM IN LEADERSHIP AND CHANGE,,,,1005385716,900 DAYTON STREET,YELLOW SPRINGS,OH,45387,-83.89219355,39.79862719,,,1000
S,ANTIOCH UNIVERSITY-SYSTEM ADMINISTRATION,,,,1005385716,900 DAYTON STREET,YELLOW SPRINGS,OH,45387,-83.89215387,39.79861396,,,1000
S,ART ACADEMY OF CINCINNATI,,,,1317729786,1212 JACKSON STREET,CINCINNATI,OH,45202,-84.51391272,39.10880505,,,1000
S,ASHLAND UNIVERSITY,,,,1002197045,401 COLLEGE AVENUE,ASHLAND,OH,44805,-82.32027856,40.86161556,,,1000
S,BALDWIN WALLACE UNIVERSITY,,,,1365316342,275 EASTLAND RD,BEREA,OH,44017,-81.849112,41.37329593,,,1000
S,BELMONT COLLEGE,,,,1316020940,68094 HAMMOND ROAD,ST CLAIRSVILLE,OH,43950,-80.966742,40.077084,,,1000
S,BLUFFTON UNIVERSITY,,,,1003739706,1 UNIVERSITY DRIVE,BLUFFTON,OH,45817,-83.89767823,40.89699812,,,1000
S,BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS,,,,,220 MCFALL CTR,BOWLING GREEN,OH,43403,-83.637531,41.377036,,,1000
S,CAPITAL UNIVERSITY,,,,1320847572,1 COLLEGE AND MAIN,COLUMBUS,OH,43209,-82.93786739,39.95487465,,,1000
S,CASE WESTERN RESERVE UNIVERSITY,,,,1399380481,10900 EUCLID AVE,CLEVELAND,OH,44106,-81.60489286,41.50409549,,,1000
S,CEDARVILLE UNIVERSITY,,,,1005340294,251 N. MAIN STREET,CEDARVILLE,OH,45314,-83.81209819,39.75033848,,,1000
S,CENTRAL OHIO TECHNICAL COLLEGE,,,,1005521832,1179 UNIVERSITY DRIVE,NEWARK,OH,43055,-82.44744127,40.0693141,,,1000
