CAI Type,Entity name,Entity number,CMS number,FRN,Location ID,Street address,City,State or territory,Zip code,Longitude,Latitude,Explanation,Broadband Need,Broadband Availability
H,STEVENS COUNTY HOSPITAL,,1417078551,,1387116952,200 6TH STREET,HUGOTON,KS,67951,-101.3459953,37.17765033,,1000,1000
S,TOPEKA WEST HIGH,77081,,2399033091,1387107115,2001 SW Fairlawn Rd,Topeka,KS,66604,-95.74746756,39.0313377,,1000,1000
S,WASHBURN INSTITUTE OF TECHNOLOGY,,,2399033091,1387107083,5724 SW Huntoon,Topeka,KS,66604,-95.74999071,39.04659122,,1000,1000
G,KANSAS PUBLIC EMPLOYEES RETIREMENT SYSTEM,,,,1387106998,611 S Kansas Ave,Topeka,KS,66603,-95.67468922,39.05125731,,1000,
S,LANSING INTERMEDIATE SCHOOL,76562,,2399048843,1387103118,200 E Mary St,Lansing,KS,66043,-94.89625644,39.244347,,1000,1000
S,LANSING MIDDLE 6-8,76563,,2399048843,1387103118,200 E Mary St,Lansing,KS,66043,-94.89625644,39.244347,,1000,1000
S,LANSING HIGH 9-12,76564,,2399048843,1387103118,200 East Mary,Lansing,KS,66043,-94.89625644,39.244347,,1000,1000
S,LANSING ELEMENTARY SCHOOL,76565,,2399048843,1387103118,200 East Mary,Lansing,KS,66043,-94.89625644,39.244347,,1000,1000
L,F. LEE DOCTOR LIBRARY,,,,1387098652,222 Main Street,Agra,KS,67621,-99.11869568,39.7613167,,1000,1000
S,COTTONWOOD ELEM,230616,,2399029104,1387090858,1115 E 303rd Street,Paola,KS,66071,-94.86231705,38.57625629,,1000,150
S,PAOLA MIDDLE,76682,,2399029104,1387090857,405 Hospital Drive,Paola,KS,66071,-94.86160698,38.57563613,,1000,
P,PAOLA HOUSING AUTHORITY,,,,1387090776,310 S IRON Street,PAOLA,KS,66071,-94.88278409,38.56998856,,1000,150
S,SUNFLOWER ELEM,76546,,2399017834,1387090731,1401 E 303rd St,Paola,KS,66071,-94.85605642,38.57708737,,1000,150
H,Jaccard Chiropractic,,,,1387088318,4 S 1st ST Suite C,Louisburg,KS,66053,-94.67662848,38.62040661,,1000,1000
G,PRAIRIE BAND POTAWATOMI NATION PLANNING & ENVIRONMENTAL PROTECTION,,,,1387065907,15434 K Rd,Mayetta,KS,66509,-95.84836765,39.32610128,,1000,150
S,ABE HUBERT ELEMENTARY SCHOOL,78107,,2399032360,1387048725,1205 A Street,Garden City,KS,67846,-100.8736732,37.97591216,,1000,1000
H,GARDEN CITY VISION SOURCE,,20077731,,1387047101,410 CAMPUS DRIVE,GARDEN CITY,KS,67846,-100.8464175,37.96560013,,1000,1000
H,GARDEN CITY VISION SOURCE,,20185959,,1387047101,410 N CAMPUS DR,GARDEN CITY,KS,67846,-100.8464175,37.96560013,,1000,1000
G,GARDEN CITY REGIONAL AIRPORT,,,,1387046669,2225 S AIR SERVICE DR,GARDEN CITY,KS,67846,-100.7199398,37.92883607,,1000,1000
F,WEIR CITY POLICE DEPT,,,,1387044376,612 South Jefferson St,Weir,KS,66781,-94.77026784,37.30520719,,1000,1000
S,GALENA HIGH,77177,,2399026361,1387041148,702 E. 7th Street,Galena,KS,66739,-94.63412823,37.07465003,,1000,200
S,LIBERTY ELEM,77179,,2399026361,1387041148,702 E. 7th Street,Galena,KS,66739,-94.63412823,37.07465003,,1000,200
